Date,Price,Open,High,Low
2016-08-15,29365,28826,29635,28826
2016-08-16,29096,29096,29635,28826
2016-08-17,28557,29096,29096,28018
2016-08-18,28557,29096,29635,28557
2016-08-19,28826,28557,29365,28557
2016-08-22,28826,29635,29635,28826
2016-08-23,28557,28557,29096,28288
2016-08-24,29096,28826,29365,28826
2016-08-25,29096,29096,29365,28826
2016-08-26,30982,30173,30982,29904
2016-08-29,30982,32059,32598,30982
2016-08-30,29904,30443,30712,29635
2016-08-31,29096,29904,30443,28826
2016-09-03,22307,22468,22576,22253
2016-09-05,25863,26186,26563,25863
2016-09-06,25917,25809,26025,25701
2016-09-08,28557,28018,28557,27749
2016-09-09,28719,28199,29016,28051
2016-09-11,26715,26938,26938,25973
2016-09-12,26010,25825,26084,25825
2016-09-13,26715,27828,27828,26715
2016-09-14,27086,26381,27754,26381
2016-09-15,26715,27309,27531,26715
2016-09-16,25973,26715,26789,25973
2016-09-19,27198,26493,27346,26493
2016-09-20,27791,27235,27903,26938
2016-09-21,27791,27457,27903,27457
2016-09-22,27828,28051,28422,27791
2016-09-23,27717,27828,27940,27606
2016-09-26,27903,27717,28162,27494
2016-09-27,28645,27903,28682,27754
2016-09-28,28941,28793,29090,28608
2016-09-29,28422,28941,29053,28199
2016-09-30,28422,28422,28793,28199
2016-10-03,22415,22361,22468,22091
2016-10-05,26186,25863,26186,25647
2016-10-06,26132,25917,26456,25917
2016-10-08,28826,28288,29096,28288
2016-10-10,27828,28162,28348,27457
2016-10-11,27012,27012,27160,26975
2016-10-13,27680,27977,27977,27531
2016-10-14,27606,27680,27977,27606
2016-10-17,27012,27606,27606,27012
2016-10-18,27049,27012,27383,26789
2016-10-19,27235,27309,27606,27160
2016-10-20,27235,27309,27457,27235
2016-10-21,27235,27235,27457,27160
2016-10-24,26789,27309,27457,26789
2016-10-25,26530,26789,26789,26270
2016-10-26,26196,26530,26567,26196
2016-10-27,26938,26196,26938,26196
2016-10-28,26938,26938,27012,26641
2016-10-31,26715,26938,27049,26715
2016-11-03,22415,22522,22576,22361
2016-11-04,22415,22307,22630,22037
2016-11-05,26402,26186,26509,26025
2016-11-07,28018,27749,28826,27479
2016-11-08,30173,28826,30173,28826
2016-11-10,28051,27977,28051,27160
2016-11-11,26901,27086,27309,26752
2016-11-14,26567,26901,26901,26530
2016-11-15,26567,26530,26901,26530
2016-11-16,26567,26567,26641,26418
2016-11-17,26455,26567,26567,26233
2016-11-18,26381,26344,26455,26307
2016-11-21,26493,26381,26567,26344
2016-11-22,26715,26493,26715,26455
2016-11-23,26938,26789,27049,26715
2016-11-24,26715,26789,26975,26641
2016-11-25,26567,26715,26789,26493
2016-11-28,26344,26493,26493,26233
2016-11-29,25973,26196,26344,25825
2016-11-30,26122,25676,26122,25528
2016-12-04,22684,22415,22953,22091
2016-12-05,25863,26402,26563,25863
2016-12-07,29096,28018,29096,28018
2016-12-08,29365,29904,30173,28826
2016-12-09,27791,28645,28645,27457
2016-12-10,27903,28051,28162,27791
2016-12-12,25899,25676,25973,25676
2016-12-13,25528,25899,25899,25417
2016-12-14,25825,25417,25862,25417
2016-12-15,25973,25825,26196,25602
2016-12-16,26047,25973,26047,25750
2016-12-19,26084,26047,26196,25973
2016-12-20,25936,26196,26196,25862
2016-12-21,25936,25899,26122,25750
2016-12-22,25899,26047,26047,25862
2016-12-23,26418,25936,26418,25862
2016-12-26,26789,26455,26864,26418
2016-12-27,26715,26864,27012,26715
2016-12-28,26418,26789,26789,26418
2016-12-29,26307,26641,26641,26270
2016-12-30,26307,26307,26493,26270
2017-01-03,27606,27754,27903,27606
2017-01-06,26938,27012,27198,26864
2017-01-08,28496,28199,28719,28199
2017-01-09,27791,27754,27828,27531
2017-01-11,31540,31540,31730,31351
2017-01-12,36620,36847,37075,36392
2017-01-13,27791,27903,28422,27791
2017-01-16,27717,27828,28051,27494
2017-01-17,28904,27828,29053,27828
2017-01-18,28422,28756,29053,28422
2017-01-19,28199,28496,28570,28199
2017-01-20,28199,28348,28570,28199
2017-01-23,28274,28459,28459,28162
2017-01-24,28645,28236,28645,28199
2017-01-25,29164,28867,29164,28496
2017-02-02,29275,29387,29387,28867
2017-02-03,27383,27903,27977,27383
2017-02-06,26938,26938,27086,26789
2017-02-08,28274,28274,28496,28051
2017-02-10,28545,28659,28887,28394
2017-02-11,31161,31540,32526,31161
2017-02-13,28830,29164,29164,28719
2017-02-14,28719,28830,29016,28570
2017-02-15,28941,28830,29164,28645
2017-02-16,28645,29090,29350,28570
2017-02-17,28422,28719,28756,28422
2017-02-20,28162,28570,28570,28125
2017-02-21,28496,28199,28533,28162
2017-02-22,28125,28570,28570,28051
