Date,Price,Open,High,Low
18/11/2019,10600,10750,10800,10600
19/11/2019,10600,10550,10650,10550
20/11/2019,10400,10600,10600,10350
21/11/2019,10200,10350,10450,10200
22/11/2019,10250,10300,10400,10100
25/11/2019,10150,10300,10300,10100
26/11/2019,10150,10200,10250,10100
27/11/2019,10100,10200,10250,10100
28/11/2019,10100,10100,10200,10050
29/11/2019,10100,10150,10200,10050
2/12/2019,10000,10100,10150,10000
3/12/2019,9750,10000,10050,9750
4/12/2019,10100,9800,10100,9800
5/12/2019,10050,10100,10150,9990
6/12/2019,10000,10000,10100,9990
9/12/2019,9950,10000,10050,9920
10/12/2019,10050,9900,10050,9900
11/12/2019,10050,10050,10100,9950
12/12/2019,10100,10050,10100,10000
13/12/2019,10050,10150,10200,10050
16/12/2019,10050,10050,10100,10000
17/12/2019,10050,10100,10100,9990
18/12/2019,9940,10000,10050,9900
19/12/2019,9930,10050,10050,9900
20/12/2019,10000,9980,10050,9950
23/12/2019,10200,10100,10300,10100
24/12/2019,10100,10200,10250,10100
25/12/2019,10100,10200,10250,10100
26/12/2019,10100,10100,10150,10000
27/12/2019,10150,10100,10200,10000
30/12/2019,10100,10100,10250,10100
31/12/2019,10050,10100,10200,10050
2/1/2020,10200,10100,10300,10000
3/1/2020,10200,10250,10300,10150
6/1/2020,10050,10100,10150,10000
7/1/2020,10150,10050,10150,10000
8/1/2020,9980,10050,10100,9970
9/1/2020,10150,10100,10200,10050
10/1/2020,10500,10150,10500,10150
13/01/2020,10400,10500,10550,10300
14/01/2020,10300,10400,10450,10300
15/01/2020,10250,10300,10350,10200
16/01/2020,10400,10300,10550,10300
17/01/2020,10600,10450,10700,10400
20/01/2020,10700,10500,10750,10500
21/01/2020,10900,10700,11050,10700
22/01/2020,10900,10900,10950,10750
30/01/2020,10350,10800,10800,10200
31/01/2020,10200,10300,10500,10200
3/2/2020,10250,10000,10400,9820
4/2/2020,10200,10250,10400,10100
5/2/2020,10250,10350,10450,10250
6/2/2020,10950,10300,10950,10300
7/2/2020,11150,11000,11450,10950
10/2/2020,10950,10900,11100,10800
11/2/2020,11350,10950,11450,10900
12/2/2020,11550,11400,11800,11400
13/02/2020,11500,11500,11600,11300
14/02/2020,11600,11550,11900,11450
17/02/2020,11650,11650,11850,11500
18/02/2020,11550,11650,11750,11350
19/02/2020,11400,11400,11550,11300
20/02/2020,11300,11500,11550,11200
21/02/2020,11300,11250,11500,11200
24/02/2020,10850,11000,11100,10750
25/02/2020,11150,10700,11150,10700
26/02/2020,11200,11000,11400,10950
27/02/2020,11650,11300,11700,11150
28/02/2020,11600,11350,11750,11350
2/3/2020,12350,11800,12400,11750
3/3/2020,12250,12600,12700,12150
4/3/2020,12500,12200,12600,12100
5/3/2020,12200,12650,12700,12200
6/3/2020,12250,12100,12400,12100
9/3/2020,11400,11500,11700,11400
10/3/2020,11400,11000,11500,10850
11/3/2020,10650,11450,11500,10650
12/3/2020,9950,10000,10250,9930
13/03/2020,10400,9300,10550,9280
16/03/2020,9990,10400,10500,9800
17/03/2020,10200,9900,10200,9560
18/03/2020,10000,10400,10400,10000
19/03/2020,9750,9900,9960,9600
20/03/2020,9800,9810,9920,9740
23/03/2020,9120,9300,9500,9120
24/03/2020,8800,9120,9170,8800
25/03/2020,9110,9150,9260,8900
26/03/2020,8700,9110,9110,8700
27/03/2020,8210,8750,8750,8210
30/03/2020,7640,7700,7990,7640
31/03/2020,7300,7860,7860,7120
1/4/2020,7810,7200,7810,7200
3/4/2020,8350,7990,8350,7900
6/4/2020,8930,8900,8930,8610
7/4/2020,9180,9400,9400,9010
8/4/2020,9280,9000,9290,8800
9/4/2020,9190,9400,9490,9180
10/4/2020,9010,9150,9230,8950
13/04/2020,9040,9010,9240,9010
14/04/2020,9160,9100,9160,8940
15/04/2020,9700,9200,9800,9180
16/04/2020,9720,9500,9950,9500
