Date,Price,Open,High,Low,Vol.,Change %
11/25/2015,3936.90,"3,838.50","3,936.90","3,740.10",139.29K,5.26%
11/26/2015,3838.50,"3,838.50","3,936.90","3,838.50",168.02K,-2.50%
11/27/2015,3740.10,"3,936.90","3,936.90","3,740.10",90.02K,-2.56%
11/30/2015,3740.10,"3,740.10","3,838.50","3,740.10",161.22K,0.00%
12/1/2015,3740.10,"3,838.50","3,838.50","3,641.70",122.76K,0.00%
12/2/2015,3740.10,"3,740.10","3,838.50","3,641.70",27.94K,0.00%
12/3/2015,3740.10,"3,641.70","3,838.50","3,641.70",41.64K,0.00%
12/4/2015,3641.70,"3,740.10","3,740.10","3,641.70",63.12K,-2.63%
12/7/2015,3740.10,"3,641.70","3,740.10","3,641.70",30.81K,2.70%
12/8/2015,3740.10,"3,641.70","3,740.10","3,543.20",111.51K,0.00%
12/9/2015,3641.70,"3,641.70","3,740.10","3,641.70",72.85K,-2.63%
12/10/2015,3641.70,"3,641.70","3,641.70","3,543.20",60.44K,0.00%
12/11/2015,3641.70,"3,641.70","3,641.70","3,543.20",55.08K,0.00%
12/14/2015,3444.80,"3,543.20","3,641.70","3,444.80",101.11K,-5.41%
12/15/2015,3543.20,"3,543.20","3,543.20","3,444.80",38.24K,2.86%
12/16/2015,3543.20,"3,543.20","3,543.20","3,543.20",59.70K,0.00%
12/17/2015,3543.20,"3,444.80","3,641.70","3,444.80",122.08K,0.00%
12/18/2015,3444.80,"3,543.20","3,543.20","3,444.80",28.74K,-2.78%
12/21/2015,3444.80,"3,444.80","3,543.20","3,346.40",48.33K,0.00%
12/22/2015,3543.20,"3,346.40","3,543.20","3,346.40",49.24K,2.86%
12/23/2015,3346.40,"3,444.80","3,543.20","3,346.40",125.53K,-5.55%
12/24/2015,3444.80,"3,444.80","3,444.80","3,346.40",52.74K,2.94%
12/25/2015,3444.80,"3,346.40","3,444.80","3,346.40",147.21K,0.00%
12/28/2015,3346.40,"3,444.80","3,444.80","3,248.00",111.99K,-2.86%
12/29/2015,3346.40,"3,346.40","3,444.80","3,346.40",58.55K,0.00%
12/30/2015,3346.40,"3,346.40","3,444.80","3,346.40",154.58K,0.00%
12/31/2015,3346.40,"3,346.40","3,444.80","3,248.00",49.89K,0.00%
1/4/2016,3346.40,"3,346.40","3,444.80","3,248.00",61.40K,0.00%
1/5/2016,3346.40,"3,248.00","3,346.40","3,149.50",45.72K,0.00%
1/6/2016,3248.00,"3,248.00","3,346.40","3,248.00",137.30K,-2.94%
1/7/2016,3149.50,"3,248.00","3,248.00","3,051.10",206.34K,-3.03%
1/8/2016,2952.70,"2,952.70","3,051.10","2,952.70",280.73K,-6.25%
1/11/2016,2854.30,"2,952.70","3,051.10","2,755.90",213.80K,-3.33%
1/12/2016,2952.70,"2,755.90","2,952.70","2,755.90",214.74K,3.45%
1/13/2016,2952.70,"2,952.70","3,051.10","2,854.30",201.90K,0.00%
1/14/2016,2854.30,"2,854.30","2,952.70","2,755.90",162.07K,-3.33%
1/15/2016,2755.90,"2,854.30","2,952.70","2,755.90",214.40K,-3.45%
1/18/2016,2657.40,"2,755.90","2,854.30","2,657.40",369.31K,-3.57%
1/19/2016,2657.40,"2,657.40","2,755.90","2,657.40",81.89K,0.00%
1/20/2016,2559.00,"2,657.40","2,657.40","2,559.00",238.87K,-3.70%
1/21/2016,2559.00,"2,559.00","2,559.00","2,460.60",221.74K,0.00%
1/22/2016,2460.60,"2,559.00","2,559.00","2,460.60",196.76K,-3.85%
1/25/2016,2559.00,"2,460.60","2,559.00","2,460.60",294.42K,4.00%
1/26/2016,2657.40,"2,657.40","2,657.40","2,559.00",285.21K,3.85%
1/27/2016,2755.90,"2,755.90","2,755.90","2,755.90",151.95K,3.71%
1/28/2016,2854.30,"2,854.30","2,854.30","2,854.30",286.12K,3.57%
1/29/2016,2952.70,"2,952.70","3,051.10","2,854.30",347.59K,3.45%
2/1/2016,2952.70,"2,952.70","2,952.70","2,854.30",93.75K,0.00%
2/2/2016,2755.90,"2,854.30","2,854.30","2,755.90",73.10K,-6.67%
2/3/2016,2854.30,"2,755.90","2,854.30","2,657.40",87.88K,3.57%
2/4/2016,2755.90,"2,854.30","2,854.30","2,755.90",39.89K,-3.45%
2/5/2016,2854.30,"2,755.90","2,854.30","2,755.90",68.10K,3.57%
