Date,Price,Open,High,Low,Vol.,Change %
8/28/2020,31558.20,30741.00,31908.40,30585.30,3.81M,3.71%
8/31/2020,31869.50,31597.10,32141.80,31558.20,2.52M,0.99%
9/1/2020,32219.70,31519.20,32219.70,31441.40,2.67M,1.10%
9/3/2020,32842.30,32297.50,32842.30,32064.00,3.35M,1.93%
9/4/2020,32764.40,32141.80,32920.10,32102.90,2.52M,-0.24%
9/7/2020,31597.10,32842.30,32842.30,31597.10,2.83M,-3.56%
9/8/2020,31791.60,31752.70,31908.40,31169.00,1.59M,0.62%
9/9/2020,31752.70,31285.80,31869.50,31207.90,1.01M,-0.12%
9/10/2020,31519.20,31986.20,32025.10,31519.20,1.07M,-0.74%
9/11/2020,31480.30,31519.20,31636.00,31324.70,972.50K,-0.12%
9/14/2020,31519.20,31558.20,31752.70,31480.30,1.17M,0.12%
9/15/2020,31713.80,31674.90,32064.00,31441.40,1.40M,0.62%
9/16/2020,31558.20,31830.50,31830.50,31480.30,687.10K,-0.49%
9/17/2020,31519.20,31674.90,31986.20,31363.60,1.91M,-0.12%
9/18/2020,31908.40,31597.10,31908.40,31519.20,1.76M,1.23%
9/21/2020,31752.70,32064.00,32297.50,31674.90,1.27M,-0.49%
9/22/2020,31674.90,31674.90,31830.50,31480.30,1.46M,-0.25%
9/23/2020,32219.70,31752.70,32608.80,31752.70,2.65M,1.72%
9/24/2020,31830.50,32064.00,32336.40,31752.70,1.92M,-1.21%
9/25/2020,31752.70,31908.40,31986.20,31558.20,1.68M,-0.24%
9/28/2020,32141.80,31947.30,32453.10,31752.70,2.46M,1.23%
9/29/2020,31636.00,32297.50,32647.70,31597.10,2.54M,-1.57%
9/30/2020,31752.70,31674.90,31830.50,31519.20,1.17M,0.37%
10/1/2020,31869.50,31752.70,32025.10,31752.70,1.46M,0.37%
10/2/2020,31636.00,31908.40,32258.60,29962.70,2.21M,-0.73%
10/5/2020,31441.40,31908.40,31908.40,31285.80,1.97M,-0.62%
10/6/2020,31480.30,31558.20,31752.70,31363.60,1.90M,0.12%
10/7/2020,31480.30,31441.40,31830.50,31363.60,1.48M,0.00%
