Date,Price,Open,High,Low,Vol.,Change %
3/9/2021,18550.00,18500.00,18700.00,18300.00,14.77M,-0.27%
3/10/2021,18700.00,18650.00,18900.00,18400.00,18.97M,0.81%
3/11/2021,19300.00,19000.00,19350.00,18850.00,34.59M,3.21%
3/12/2021,19200.00,19400.00,19500.00,19000.00,19.94M,-0.52%
3/15/2021,18900.00,19200.00,19350.00,18900.00,22.95M,-1.56%
3/16/2021,18900.00,18950.00,19150.00,18750.00,23.80M,0.00%
3/17/2021,19600.00,19000.00,19750.00,19000.00,38.32M,3.70%
3/18/2021,19700.00,19850.00,19950.00,19600.00,19.88M,0.51%
3/19/2021,19600.00,19600.00,19900.00,19550.00,24.33M,-0.51%
3/22/2021,19200.00,19700.00,19700.00,19150.00,32.82M,-2.04%
3/23/2021,18800.00,19200.00,19200.00,18750.00,25.30M,-2.08%
3/24/2021,18400.00,18550.00,18850.00,18300.00,22.97M,-2.13%
3/25/2021,18750.00,18600.00,19050.00,18450.00,28.72M,1.90%
3/26/2021,18950.00,18750.00,19100.00,18300.00,23.37M,1.07%
3/29/2021,19200.00,19050.00,19250.00,18900.00,37.00M,1.32%
3/30/2021,20500.00,19250.00,20500.00,19000.00,99.98M,6.77%
3/31/2021,21450.00,21450.00,21900.00,21250.00,56.67M,4.63%
4/1/2021,21600.00,21400.00,21650.00,21100.00,33.20M,0.70%
4/2/2021,22600.00,21900.00,22950.00,21800.00,56.04M,4.63%
4/5/2021,23150.00,23000.00,23300.00,22600.00,46.16M,2.43%
4/6/2021,22750.00,22600.00,23200.00,22600.00,42.37M,-1.73%
4/7/2021,22300.00,22300.00,22600.00,22100.00,51.63M,-1.98%
4/8/2021,22200.00,22500.00,22600.00,22000.00,26.67M,-0.45%
4/9/2021,22700.00,22200.00,22900.00,22200.00,25.32M,2.25%
4/12/2021,23450.00,23000.00,23850.00,22750.00,49.31M,3.30%
4/13/2021,22700.00,23450.00,23550.00,22600.00,46.63M,-3.20%
4/14/2021,22900.00,22500.00,22950.00,22200.00,35.11M,0.88%
4/15/2021,22350.00,23000.00,23000.00,22200.00,36.95M,-2.40%
4/16/2021,22100.00,22200.00,22800.00,21800.00,41.49M,-1.12%
4/19/2021,22900.00,22300.00,22900.00,22000.00,29.03M,3.62%
4/20/2021,22500.00,23000.00,23150.00,22300.00,29.74M,-1.75%
4/22/2021,21000.00,22500.00,22600.00,21000.00,35.45M,-6.67%
4/23/2021,22450.00,21300.00,22450.00,20900.00,45.23M,6.90%
4/26/2021,22550.00,22900.00,23200.00,22450.00,41.63M,0.45%
4/27/2021,23100.00,22550.00,23250.00,22300.00,47.55M,2.44%
4/28/2021,24200.00,23100.00,24350.00,22900.00,71.13M,4.76%
4/29/2021,23900.00,24250.00,24600.00,23850.00,38.89M,-1.24%
5/4/2021,24100.00,23300.00,24200.00,23150.00,54.31M,0.84%
5/5/2021,24700.00,24150.00,25100.00,24050.00,51.68M,2.49%
5/6/2021,24400.00,24550.00,24900.00,24300.00,34.27M,-1.21%
5/7/2021,24000.00,24250.00,24550.00,23800.00,48.46M,-1.64%
5/10/2021,24300.00,23800.00,24500.00,23700.00,41.49M,1.25%
5/11/2021,24650.00,24450.00,25450.00,24450.00,58.01M,1.44%
5/12/2021,26350.00,24850.00,26350.00,24800.00,59.48M,6.90%
5/13/2021,26300.00,26050.00,27150.00,26050.00,47.11M,-0.19%
5/14/2021,26400.00,26600.00,26850.00,26150.00,32.74M,0.38%
5/17/2021,25950.00,26500.00,26700.00,25850.00,39.75M,-1.70%
5/18/2021,27300.00,25900.00,27400.00,25650.00,44.75M,5.20%
5/19/2021,28500.00,27300.00,28700.00,27300.00,46.48M,4.40%
5/20/2021,29400.00,28450.00,29550.00,28100.00,57.27M,3.16%
5/21/2021,28850.00,29250.00,29800.00,28800.00,45.79M,-1.87%
5/24/2021,28900.00,28850.00,29250.00,28800.00,31.60M,0.17%
5/25/2021,29350.00,28950.00,29750.00,28900.00,24.12M,1.56%
5/26/2021,29500.00,29600.00,29800.00,29350.00,31.49M,0.51%
5/27/2021,29800.00,29550.00,30300.00,29000.00,46.75M,1.02%
5/28/2021,31850.00,30400.00,31850.00,30000.00,73.84M,6.88%
5/31/2021,33800.00,32150.00,33900.00,31900.00,42.13M,6.12%
6/1/2021,32400.00,33500.00,33550.00,32350.00,47.06M,-4.14%
6/2/2021,32200.00,31600.00,32400.00,31200.00,51.66M,-0.62%
6/3/2021,32750.00,33200.00,33200.00,32200.00,30.95M,1.71%
6/4/2021,32150.00,32200.00,33000.00,31800.00,37.48M,-1.83%
6/7/2021,30700.00,31800.00,32000.00,30000.00,38.82M,-4.51%
6/8/2021,28600.00,30200.00,31300.00,28600.00,47.30M,-6.84%
6/9/2021,29600.00,28500.00,30350.00,28000.00,37.52M,3.50%
6/10/2021,28900.00,29600.00,30050.00,28800.00,23.98M,-2.36%
6/11/2021,30500.00,29100.00,30800.00,28800.00,36.44M,5.54%
6/14/2021,30800.00,30700.00,31300.00,30400.00,26.89M,0.98%
6/15/2021,30100.00,30800.00,30800.00,29800.00,29.66M,-2.27%
6/16/2021,29200.00,29600.00,30200.00,29000.00,30.69M,-2.99%
6/17/2021,29400.00,28550.00,29650.00,28550.00,19.58M,0.68%
6/18/2021,29650.00,29900.00,30100.00,29500.00,16.99M,0.85%
6/21/2021,29850.00,29500.00,30300.00,29350.00,24.07M,0.67%
6/22/2021,30200.00,30150.00,30750.00,29850.00,25.19M,1.17%
6/23/2021,29750.00,30200.00,30350.00,29750.00,24.11M,-1.49%
6/24/2021,29000.00,29750.00,29900.00,28850.00,21.75M,-2.52%
6/25/2021,29500.00,29000.00,29500.00,28900.00,15.57M,1.72%
6/28/2021,30200.00,29800.00,30400.00,29450.00,19.30M,2.37%
6/29/2021,31000.00,30500.00,31500.00,30400.00,36.07M,2.65%
6/30/2021,30600.00,30950.00,31400.00,30500.00,16.50M,-1.29%
7/1/2021,31000.00,30600.00,31250.00,30450.00,29.59M,1.31%
7/2/2021,31500.00,31100.00,31950.00,31100.00,41.48M,1.61%
7/5/2021,32600.00,31600.00,32600.00,30900.00,53.69M,3.49%
7/6/2021,30350.00,32800.00,33100.00,30350.00,38.58M,-6.90%
7/7/2021,31050.00,30650.00,31150.00,30000.00,41.48M,2.31%
7/8/2021,30200.00,31000.00,31300.00,30100.00,32.24M,-2.74%
7/9/2021,29100.00,30000.00,30500.00,29000.00,38.41M,-3.64%
7/12/2021,28400.00,29150.00,29200.00,27100.00,62.62M,-2.41%
7/13/2021,28700.00,28800.00,29000.00,28050.00,18.44M,1.06%
