"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2023","206.14","206.81","208.79","204.55","38.58K","-0.33%"
"03/01/2023","206.83","201.56","206.83","200.35","58.27K","2.20%"
"02/28/2023","202.38","201.89","205.52","201.00","48.91K","-0.44%"
"02/27/2023","203.27","207.32","207.49","202.58","67.33K","-1.95%"
"02/24/2023","207.32","209.31","211.00","207.26","56.00K","-0.95%"
"02/23/2023","209.31","209.98","210.45","205.68","78.65K","-0.31%"
"02/22/2023","209.96","214.08","214.48","209.96","108.96K","-1.92%"
"02/21/2023","214.08","215.83","217.50","214.01","79.25K","-0.81%"
"02/20/2023","215.83","209.95","215.97","209.95","90.87K","2.80%"
"02/17/2023","209.95","210.84","212.46","209.50","60.13K","-0.42%"
"02/16/2023","210.84","208.09","210.85","208.09","65.32K","1.38%"
"02/15/2023","207.97","204.98","209.25","204.82","58.43K","1.52%"
"02/14/2023","204.86","204.49","205.43","201.89","36.36K","0.18%"
"02/13/2023","204.49","208.49","208.83","202.02","81.57K","-1.92%"
"02/10/2023","208.50","210.77","211.29","207.75","48.74K","-1.14%"
"02/09/2023","210.91","210.62","211.55","209.95","45.88K","0.14%"
"02/08/2023","210.62","209.82","212.15","208.74","61.46K","0.30%"
"02/07/2023","210.00","214.40","215.31","209.98","69.21K","-2.08%"
"02/06/2023","214.47","215.28","215.74","213.63","50.02K","-0.38%"
"02/03/2023","215.28","215.31","217.00","213.67","55.77K","-0.01%"
"02/02/2023","215.31","216.01","217.40","214.16","81.70K","-0.32%"
"02/01/2023","216.01","222.44","224.49","216.00","129.12K","-2.89%"
"01/31/2023","222.43","220.79","222.43","218.21","86.59K","0.75%"
"01/30/2023","220.78","220.77","223.09","219.57","103.79K","0.01%"
"01/27/2023","220.76","219.87","223.16","219.73","68.58K","0.40%"
"01/19/2023","219.87","217.73","219.87","217.49","69.38K","0.98%"
"01/18/2023","217.73","215.15","218.16","215.15","75.30K","1.20%"
"01/17/2023","215.15","210.87","215.15","210.17","64.68K","2.02%"
"01/16/2023","210.88","211.26","211.97","210.02","36.79K","-0.18%"
"01/13/2023","211.26","211.94","213.68","210.72","58.74K","-0.32%"
"01/12/2023","211.94","211.67","213.09","210.77","49.52K","0.13%"
"01/11/2023","211.67","210.78","213.07","209.50","58.73K","0.49%"
"01/10/2023","210.63","209.40","211.17","207.21","46.34K","0.46%"
"01/09/2023","209.67","210.71","212.96","208.81","41.62K","-0.47%"
"01/06/2023","210.65","212.92","214.58","210.10","58.61K","-1.15%"
"01/05/2023","213.11","212.91","214.70","211.35","52.76K","0.02%"
"01/04/2023","213.06","212.72","215.27","211.24","66.30K","0.24%"
"01/03/2023","212.56","205.07","212.56","204.71","66.64K","3.53%"
"12/30/2022","205.31","206.54","207.66","204.69","35.58K","-0.60%"
"12/29/2022","206.54","206.03","206.57","203.10","41.26K","0.24%"
"12/28/2022","206.04","203.14","206.30","202.79","43.90K","1.43%"
"12/27/2022","203.14","198.50","203.14","197.09","58.87K","2.34%"
"12/26/2022","198.50","205.30","205.81","197.95","80.86K","-3.31%"
"12/23/2022","205.30","205.79","206.49","203.00","46.25K","-0.24%"
"12/22/2022","205.79","203.24","206.79","201.33","55.59K","0.65%"
"12/21/2022","204.46","207.33","208.63","200.47","84.04K","-1.48%"
"12/20/2022","207.53","211.19","213.69","204.17","117.88K","-2.22%"
"12/19/2022","212.24","212.99","217.48","212.24","101.62K","-0.35%"
"12/16/2022","212.99","212.95","215.25","211.35","101.71K","0.02%"
"12/15/2022","212.95","213.21","214.69","210.74","71.51K","-0.12%"
"12/14/2022","213.21","213.59","217.23","211.93","85.55K","-0.18%"
"12/13/2022","213.59","209.88","213.75","206.34","95.48K","1.45%"
"12/12/2022","210.53","217.00","219.48","210.53","114.75K","-2.98%"
"12/09/2022","217.00","215.38","217.60","213.71","101.11K","0.76%"
"12/08/2022","215.37","209.82","216.69","208.78","100.42K","2.59%"
"12/07/2022","209.93","212.80","214.22","208.05","112.94K","-1.35%"
"12/06/2022","212.80","219.73","221.84","212.80","186.74K","-3.26%"
"12/05/2022","219.96","216.55","222.34","216.53","118.92K","1.85%"
"12/02/2022","215.96","211.01","216.04","208.19","135.17K","2.35%"
"12/01/2022","211.00","208.98","214.73","208.54","136.72K","1.06%"
"11/30/2022","208.79","207.41","210.89","204.41","88.05K","0.27%"
"11/29/2022","208.22","204.22","208.49","202.42","152.08K","2.04%"
"11/28/2022","204.06","196.93","204.10","196.48","77.54K","3.70%"
"11/25/2022","196.77","190.75","196.80","189.35","56.23K","2.90%"
"11/24/2022","191.22","191.00","191.81","188.48","58.28K","0.12%"
"11/23/2022","191.00","194.60","195.85","191.00","56.02K","-1.88%"
"11/22/2022","194.66","192.37","197.98","190.95","99.13K","1.17%"
"11/21/2022","192.40","190.14","193.73","187.99","52.05K","0.80%"
"11/18/2022","190.87","187.12","190.88","183.43","97.21K","1.60%"
"11/17/2022","187.86","183.93","188.77","181.73","70.44K","2.40%"
"11/16/2022","183.45","175.67","183.50","168.16","101.41K","4.36%"
"11/15/2022","175.78","183.39","183.39","174.34","58.22K","-4.18%"
"11/14/2022","183.45","189.76","189.76","182.40","65.56K","-3.35%"
"11/11/2022","189.81","191.68","193.69","188.97","77.91K","-1.34%"
"11/10/2022","192.39","201.34","201.34","191.89","59.89K","-4.47%"
"11/09/2022","201.39","199.19","203.52","198.35","44.35K","0.81%"
"11/08/2022","199.77","198.64","199.78","195.43","51.55K","0.61%"
"11/07/2022","198.56","203.73","205.10","198.11","62.80K","-2.93%"
"11/04/2022","204.56","210.54","210.84","203.25","73.07K","-2.93%"
"11/03/2022","210.74","211.66","211.78","209.80","37.23K","-0.43%"
"11/02/2022","211.66","212.29","213.94","211.27","47.36K","-0.33%"
"11/01/2022","212.36","210.43","213.27","209.69","53.69K","0.92%"
"10/31/2022","210.43","213.77","215.12","208.29","50.81K","-1.54%"
"10/28/2022","213.73","212.77","217.11","212.42","55.70K","0.05%"
"10/27/2022","213.63","205.11","213.63","201.94","55.28K","3.73%"
"10/26/2022","205.95","207.55","209.78","204.50","39.38K","-1.00%"
"10/25/2022","208.02","209.43","211.24","203.44","73.56K","-0.71%"
"10/24/2022","209.50","217.45","218.69","208.17","63.70K","-3.64%"
"10/21/2022","217.41","225.76","226.02","216.34","88.61K","-3.75%"
"10/20/2022","225.88","227.90","228.52","224.90","32.30K","-0.89%"
"10/19/2022","227.90","229.12","230.61","227.20","37.26K","-0.53%"
"10/18/2022","229.12","225.98","231.61","225.98","54.94K","1.17%"
"10/17/2022","226.46","228.01","228.01","223.84","43.31K","-0.63%"
"10/14/2022","227.89","224.69","229.58","224.69","66.73K","1.40%"
